Tue Aug 13 15:21:30 2024    profile_data.prof

         297998 function calls (292075 primitive calls) in 14.634 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      264    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
      255    0.000    0.000    0.000    0.000 inspect.py:2552(default)
      254    0.000    0.000    0.002    0.000 typing.py:466(<genexpr>)
      254    0.001    0.000    0.003    0.000 inspect.py:1233(formatannotation)
   237/22    0.010    0.000    0.013    0.001 sre_parse.py:174(getwidth)
      235    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      234    0.000    0.000    0.010    0.000 re.py:270(escape)
      234    0.010    0.000    0.010    0.000 {method 'translate' of 'str' objects}
      232    0.002    0.000    0.270    0.001 events.py:78(_run)
      232    0.002    0.000    0.268    0.001 {method 'run' of 'Context' objects}
      230    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:351(__init__)
      230    0.000    0.000    0.000    0.000 base_events.py:513(_check_closed)
      229    0.001    0.000    0.005    0.000 symbolic_helper.py:249(decorator)
      229    0.000    0.000    0.000    0.000 symbolic_helper.py:220(parse_args)
      228    0.002    0.000   11.893    0.052 selectors.py:314(_select)
      228    0.006    0.000   11.900    0.052 selectors.py:320(select)
      228    0.013    0.000   12.187    0.053 base_events.py:1830(_run_once)
      228    0.002    0.000    0.003    0.000 events.py:31(__init__)
      228    0.000    0.000    0.000    0.000 selector_events.py:591(_process_events)
      228   11.891    0.052   11.891    0.052 {built-in method select.select}
   226/11    0.012    0.000    0.026    0.002 sre_compile.py:71(_compile)
      226    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      226    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      224    0.004    0.000    0.017    0.000 tasks.py:633(sleep)
      223    0.002    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
    221/4    0.002    0.000    1.870    0.468 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      216    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      214    0.001    0.000    0.001    0.000 module.py:1716(__getattr__)
      213    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
   210/11    0.027    0.000    0.101    0.009 sre_parse.py:493(_parse)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
      208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:811(find_spec)
      208    0.006    0.000    0.219    0.001 <frozen importlib._bootstrap>:901(_find_spec)
      208    0.003    0.000    0.206    0.001 <frozen importlib._bootstrap_external>:1383(_get_spec)
      208    0.004    0.000    0.210    0.001 <frozen importlib._bootstrap_external>:1415(find_spec)
      208    0.000    0.000    0.000    0.000 {built-in method torch._C._set_grad_enabled}
      208    0.000    0.000    0.001    0.000 grad_mode.py:184(__init__)
      208    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      208    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
